Lv,Name,HP,Type,Gold,Number Appearing,wood
1,Sheep,10,-,1,20,
2,Rabid Dogs,42,-,1,20,
3,Small Boys,65,-,1,20,
4,Peasants,75,-,1,20,
5,Firework Throwers,101,-,1,20,
6,Drug Runners,87,FAST,1,20,
7,Greedy Pigs,135,-,1,20,wood
8,FlyingMachines,158,AIR,1,20,
9,Stags,189,-,1,20,
10,Trolls,212,IMMUNE,2,20,
11,Angry Clitters,2000,BOSS,45,1,
12,Water Elementals,246,-,2,20,
13,Drug Runners,212,FAST,2,20,
14,Lizards,331,-,2,20,wood
15,Battle Golems,384,-,2,20,
16,Happy Rogue,445,-,2,20,
17,Albatross,580,AIR,2,20,
18,FatPigs,695,-,2,20,
19,Drug Runners,559,FAST,2,20,
20,Goblins Again,806,-,3,20,
21,Trolls,1125,IMMUNE,3,20,wood
22,Angry Clitters,14000,BOSS,55,1,
23,Goblins Again!?,1075,-,3,20,
24,DarkMinions,1265,-,4,20,
25,Cannons,1468,-,4,20,
26,Drug Runners,1265,FAST,4,20,
27,Albatross,1615,AIR,4,20,
28,Cryptic Fiends,1935,-,4,20,wood
29,Sludge Monstrosity,2165,-,5,20,
30,Ghouls,2405,-,5,20,
31,Goblins,2655,-,5,20,
32,Trolls Riding Drug Runners,2500,FAST&IMMUNE,2,20,
33,Angry Clitters,35000,BOSS,100,1,
34,Damn Hard,5000,-,5,40,
35,OMG,7000,-,10,40,
36,gg,10000,-,15,40,
37,HOW ARE YOU STILL ALIVE?!,15000,-,20,40,
38,THE LAST LEVEL,20000,-,25,40,
39,U B PRO,25001,-,30,60,